"","Scenario","Park","Sumprob"
"1","Present","P.N.Hornopirén",0.000403852946622932
"2","rcp4.5_2050","P.N.Hornopirén",0.00044446511838771
"3","rcp4.5_2070","P.N.Hornopirén",0.000354764596448193
"4","rcp8.5_2050","P.N.Hornopirén",0.00204018899382394
"5","rcp8.5_2070","P.N.Hornopirén",0.00749182145745069
"6","Present","P.N.Alerce Andino",7.36450708964958e-06
"7","rcp4.5_2050","P.N.Alerce Andino",3.08851018387575e-05
"8","rcp4.5_2070","P.N.Alerce Andino",2.8322531561622e-05
"9","rcp8.5_2050","P.N.Alerce Andino",2.97316136696391e-05
"10","rcp8.5_2070","P.N.Alerce Andino",0.000439052313106123
"11","Present","P.N.Laguna del Laja",0.0226036110005981
"12","rcp4.5_2050","P.N.Laguna del Laja",0.00918894448525738
"13","rcp4.5_2070","P.N.Laguna del Laja",0.0120566375375679
"14","rcp8.5_2050","P.N.Laguna del Laja",0.0104500903670659
"15","rcp8.5_2070","P.N.Laguna del Laja",0.0328925921183797
"16","Present","P.N.Vicente Pérez Rosales",0.00443909763809509
"17","rcp4.5_2050","P.N.Vicente Pérez Rosales",0.0154046872421909
"18","rcp4.5_2070","P.N.Vicente Pérez Rosales",0.0108226753126264
"19","rcp8.5_2050","P.N.Vicente Pérez Rosales",0.0108704670118224
"20","rcp8.5_2070","P.N.Vicente Pérez Rosales",0.0108434291921488
"21","Present","P.N.Puyehue",0.0322793950478414
"22","rcp4.5_2050","P.N.Puyehue",0.0292164759805816
"23","rcp4.5_2070","P.N.Puyehue",0.0178275219875457
"24","rcp8.5_2050","P.N.Puyehue",0.0266557342690315
"25","rcp8.5_2070","P.N.Puyehue",0.0138996369106543
"26","Present","P.N.Palmas de Cocalán",0.154376871976069
"27","rcp4.5_2050","P.N.Palmas de Cocalán",0.0131019888266905
"28","rcp4.5_2070","P.N.Palmas de Cocalán",0.0103299306315925
"29","rcp8.5_2050","P.N.Palmas de Cocalán",0.010339181569269
"30","rcp8.5_2070","P.N.Palmas de Cocalán",0.0128676949481939
"31","Present","P.N.Villarrica",0.0493299662161611
"32","rcp4.5_2050","P.N.Villarrica",0.0290040415755035
"33","rcp4.5_2070","P.N.Villarrica",0.0338318934652104
"34","rcp8.5_2050","P.N.Villarrica",0.0251163681348452
"35","rcp8.5_2070","P.N.Villarrica",0.0194787123614829
"36","Present","P.N.Radal 7 Tazas",0.0317807346730733
"37","rcp4.5_2050","P.N.Radal 7 Tazas",0.103538144449152
"38","rcp4.5_2070","P.N.Radal 7 Tazas",0.0827138079854954
"39","rcp8.5_2050","P.N.Radal 7 Tazas",0.103374600830665
"40","rcp8.5_2070","P.N.Radal 7 Tazas",0.045228074752289
"41","Present","P.N.Tolhuaca",0.148789934195708
"42","rcp4.5_2050","P.N.Tolhuaca",0.00975718135560724
"43","rcp4.5_2070","P.N.Tolhuaca",0.00222875968422067
"44","rcp8.5_2050","P.N.Tolhuaca",0.0107014704030101
"45","rcp8.5_2070","P.N.Tolhuaca",0.0143564455108335
"46","Present","P.N.La Campana",0.0244971494982031
"47","rcp4.5_2050","P.N.La Campana",0.00325388819155858
"48","rcp4.5_2070","P.N.La Campana",0.000745025508947931
"49","rcp8.5_2050","P.N.La Campana",0.000482671569490773
"50","rcp8.5_2070","P.N.La Campana",0.00701485918722747
"51","Present","P.N.Chiloé",0.0027427171294105
"52","rcp4.5_2050","P.N.Chiloé",0.00190514077394013
"53","rcp4.5_2070","P.N.Chiloé",0.000810868556974706
"54","rcp8.5_2050","P.N.Chiloé",0.000836760190799225
"55","rcp8.5_2070","P.N.Chiloé",0.00296339801644203
"56","Present","P.N.Huerquehue",0.000388539926234819
"57","rcp4.5_2050","P.N.Huerquehue",0.00125106002385671
"58","rcp4.5_2070","P.N.Huerquehue",0.00117465339837543
"59","rcp8.5_2050","P.N.Huerquehue",0.000380990971220192
"60","rcp8.5_2070","P.N.Huerquehue",0.000800441668356664
"61","Present","P.N.Conguillío",0.109147316885799
"62","rcp4.5_2050","P.N.Conguillío",0.00452618921570803
"63","rcp4.5_2070","P.N.Conguillío",0.00213289795885491
"64","rcp8.5_2050","P.N.Conguillío",0.0010802914007287
"65","rcp8.5_2070","P.N.Conguillío",0.00187422145116734
"66","Present","P.N.Corcovado",0.000542092319807379
"67","rcp4.5_2050","P.N.Corcovado",0.00044628154784027
"68","rcp4.5_2070","P.N.Corcovado",5.65715677207706e-05
"69","rcp8.5_2050","P.N.Corcovado",0.000353880408552671
"70","rcp8.5_2070","P.N.Corcovado",7.56191396791239e-05
"71","Present","P.N.Alerce Costero",7.14269718080097e-06
"72","rcp4.5_2050","P.N.Alerce Costero",0.00801045194778816
"73","rcp4.5_2070","P.N.Alerce Costero",0.0115848909107004
"74","rcp8.5_2050","P.N.Alerce Costero",0.0150043526623599
"75","rcp8.5_2070","P.N.Alerce Costero",0.0351723912539873
"76","Present","Parque Pumalín",0.0336959043475939
"77","rcp4.5_2050","Parque Pumalín",0.000240227834262387
"78","rcp4.5_2070","Parque Pumalín",5.91230626116508e-05
"79","rcp8.5_2050","Parque Pumalín",0.000267466838368792
"80","rcp8.5_2070","Parque Pumalín",0.00276190731100241
"81","Present","P.N.Nahuelbuta",0.000157297647465901
"82","rcp4.5_2050","P.N.Nahuelbuta",0.000400850945745463
"83","rcp4.5_2070","P.N.Nahuelbuta",0.00102944807690063
"84","rcp8.5_2050","P.N.Nahuelbuta",0.000523390402073343
"85","rcp8.5_2070","P.N.Nahuelbuta",0.000922336232342832
